method,route,module,action,roles,line,gate
DELETE,/companies/:companyId/whatsapp/instance,whatsapp,delete,"Admin",6423,roles
GET,/companies/:companyId/whatsapp/state,whatsapp,read,"Admin",6433,roles
GET,/companies/:companyId/whatsapp/qr,whatsapp,read,"Admin",6445,roles
POST,/companies/:companyId/whatsapp/configure-webhook,whatsapp,create,"Admin",6456,roles
POST,/companies/:companyId/whatsapp/logout,whatsapp,create,"Admin",6473,roles
POST,/companies/:companyId/whatsapp/send,whatsapp,send,"Accountant Admin Manager",6485,roles
GET,/companies/:companyId/whatsapp/messages,whatsapp,read,"Accountant Admin Manager",6542,roles
GET,/companies/:companyId/whatsapp/chats,whatsapp,read,"Accountant Admin Manager",6566,roles
GET,/companies/:companyId/whatsapp/chats/:chatId/settings,whatsapp,read,"Accountant Admin Manager",6576,roles
PATCH,/companies/:companyId/whatsapp/chats/:chatId/settings,whatsapp,write,"Accountant Admin Manager",6585,roles
POST,/companies/:companyId/whatsapp/chats/:chatId/read,whatsapp,create,"Accountant Admin Manager",6619,roles
POST,/companies/:companyId/whatsapp/chats/:chatId/sync-history,whatsapp,create,"Accountant Admin Manager",6629,roles
POST,/companies/:companyId/whatsapp/open-chat,whatsapp,create,"Accountant Admin Manager",6653,roles
POST,/whatsapp/webhook/:webhookToken,whatsapp,create,"",6692,none
GET,/companies/:companyId/invoices,invoices,read,"Accountant Admin Manager",6782,roles
GET,/companies/:companyId/credit-notes,invoices,read,"Accountant Admin Manager",6793,roles
POST,/companies/:companyId/credit-notes,invoices,create,"Accountant Admin Manager",6802,roles
POST,/invoices,invoices,create,"Accountant Admin Manager",6834,roles
GET,/invoices/:id,invoices,read,"Accountant Admin Manager",6891,roles
PATCH,/invoices/:id/status,invoices,write,"Accountant Admin Manager",6902,roles
PUT,/invoices/:id,invoices,write,"Accountant Admin Manager",6926,roles
GET,/invoices/:id/payments,invoices,pay,"Accountant Admin Manager",6982,roles
POST,/invoices/:id/payments,invoices,pay,"Accountant Admin Manager",6993,roles
DELETE,/invoices/:id/payments/:paymentId,invoices,delete,"Accountant Admin Manager",7024,roles
POST,/companies/:companyId/invoices/bulk-status,invoices,create,"Accountant Admin Manager",7047,roles
GET,/companies/:companyId/finance/accounts,finance,read,"Accountant Admin Manager",7078,roles
POST,/companies/:companyId/finance/accounts,finance,create,"Accountant Admin Manager",7087,roles
PUT,/finance/accounts/:id,finance,write,"Accountant Admin Manager",7111,roles
DELETE,/finance/accounts/:id,finance,delete,"Accountant Admin Manager",7136,roles
GET,/companies/:companyId/finance/journal,finance,read,"Accountant Admin Manager",7153,roles
POST,/companies/:companyId/finance/journal,finance,create,"Accountant Admin Manager",7163,roles
GET,/companies/:companyId/finance/vendor-bills,finance,read,"Accountant Admin Manager",7194,roles
GET,/companies/:companyId/bill-matches,purchasing,read,"Accountant Admin Manager",7204,roles
GET,/vendor-bills/:id/match,vendor-bills,read,"Accountant Admin Manager",7212,roles
GET,/companies/:companyId/finance/supplier-payables,finance,read,"Accountant Admin Manager",7223,roles
POST,/companies/:companyId/finance/vendor-bills,finance,create,"Accountant Admin Manager",7232,roles
PATCH,/vendor-bills/:id/status,vendor-bills,write,"Accountant Admin Manager",7303,roles
GET,/vendor-bills/:id/payments,vendor-bills,pay,"Accountant Admin Manager",7327,roles
POST,/vendor-bills/:id/payments,vendor-bills,pay,"Accountant Admin Manager",7338,roles
DELETE,/vendor-bills/:id/payments/:paymentId,vendor-bills,delete,"Accountant Admin Manager",7370,roles
POST,/companies/:companyId/finance/vendor-bills/bulk-status,finance,create,"Accountant Admin Manager",7393,roles
GET,/companies/:companyId/finance/overview,finance,read,"Accountant Admin Manager",7424,roles
GET,/companies/:companyId/finance/aging,finance,read,"Accountant Admin Manager",7433,roles
GET,/companies/:companyId/finance/accounts/:accountId/activity,finance,read,"Accountant Admin Manager",7450,roles
GET,/companies/:companyId/finance/trial-balance,finance,read,"Accountant Admin Manager",7478,roles
GET,/companies/:companyId/finance/profit-and-loss,finance,read,"Accountant Admin Manager",7491,roles
GET,/companies/:companyId/payables/pending,vendor-bills,read,"Accountant Admin Manager",7508,roles
POST,/companies/:companyId/payables/pending/bill,vendor-bills,create,"Accountant Admin Manager",7517,roles
GET,/companies/:companyId/hr/gratuity,hr,read,"Accountant Admin Manager",7546,roles
POST,/companies/:companyId/hr/gratuity/accrue,hr,create,"Accountant Admin Manager",7557,roles
POST,/companies/:companyId/finance/revalue-foreign-balances,finance,create,"Accountant Admin Manager",7573,roles
GET,/companies/:companyId/dashboard,dashboard,read,"Accountant Admin Employee Manager",7603,access
GET,/companies/:companyId/reports/management-summary,finance,read,"Accountant Admin Manager",7621,roles
GET,/companies/:companyId/reports/export/:dataset,finance,read,"Accountant Admin Manager",7630,roles
GET,/companies/:companyId/finance/export/:dataset,finance,read,"Accountant Admin Manager",7725,roles
POST,/seed,seed,create,"",7874,none
GET,/companies/:companyId/departments,hr,read,"Accountant Admin Employee Manager",7888,access
POST,/companies/:companyId/departments,hr,create,"Accountant Admin Manager",7892,roles
PUT,/departments/:id,hr,write,"Accountant Admin Manager",7898,roles
GET,/companies/:companyId/employees,hr,read,"Accountant Admin Employee Manager",7905,access
POST,/companies/:companyId/employees,hr,create,"Accountant Admin Manager",7909,roles
GET,/employees/:id,hr,read,"Accountant Admin Employee Manager",7915,access
PUT,/employees/:id,hr,write,"Accountant Admin Manager",7921,roles
GET,/employees/:id/leave-balance,hr,read,"Accountant Admin Employee Manager",7927,access
GET,/companies/:companyId/attendance,hr,read,"Accountant Admin Manager",7936,roles
POST,/companies/:companyId/attendance,hr,create,"Accountant Admin Manager",7944,roles
DELETE,/attendance/:id,hr,delete,"Accountant Admin Manager",7962,roles
GET,/companies/:companyId/payroll-runs,payroll,read,"Accountant Admin Manager",7970,roles
POST,/companies/:companyId/payroll-runs,payroll,create,"Accountant Admin Manager",7974,roles
GET,/payroll-runs/:id,payroll,read,"Accountant Admin Manager",7993,roles
PUT,/payroll-runs/:id/status,payroll,write,"Accountant Admin Manager",7996,roles
DELETE,/payroll-runs/:id,payroll,delete,"Accountant Admin Manager",8002,roles
GET,/payroll-runs/:id/wps,payroll,read,"Accountant Admin Manager",8007,roles
GET,/companies/:companyId/leave-types,hr,read,"Accountant Admin Employee Manager",8015,access
POST,/companies/:companyId/leave-types,hr,create,"Accountant Admin Manager",8019,roles
PUT,/leave-types/:id,hr,write,"Accountant Admin Manager",8025,roles
GET,/companies/:companyId/leave-requests,hr,read,"Accountant Admin Employee Manager",8032,access
POST,/companies/:companyId/leave-requests,hr,create,"Accountant Admin Manager",8039,roles
PUT,/leave-requests/:id/status,hr,write,"Accountant Admin Manager",8060,roles
DELETE,/invoices/:id,invoices,delete,"Accountant Admin Manager",8083,roles
DELETE,/tasks/:id,tasks,delete,"",8115,none
POST,/purchase-requisitions/:id/submit,purchasing,create,"Accountant Admin Manager",6123,roles
POST,/purchase-requisitions/:id/approve,purchasing,approve,"Admin Manager",6124,roles
POST,/purchase-requisitions/:id/reject,purchasing,create,"Admin Manager",6125,roles
POST,/purchase-requisitions/:id/convert,purchasing,create,"Accountant Admin Manager",6128,roles
